,Classes,vitamin_a_per_serving_mcg,vitamin_d_per_serving_mcg,vitamin_e_per_serving_mg,vitamin_c_per_serving_mg,thiamin_per_serving_mg,riboflavin_per_serving_mg,niacin_per_serving_mg,vitamin_b6_per_serving_mg,vitamin_b12_per_serving_mcg,folic_acid_per_serving_mcg,calcium_per_serving_mg,iron_per_serving_mg,protein_per_serving_g,zinc_per_serving_mg
48,greek_salad,638.1975146850001,0.15772533333333333,0.7507225981666666,11.408137879444444,0.13487507816111108,0.48958312909999996,1.2005041843666666,0.36880661619166666,0.7140799303333332,0.5666666666666668,329.3252747277777,3.3670741821388885,9.639530452583333,1.6916778774444445
49,grilled_cheese_sandwich,30.66,0.0,0.022000000000000002,1.1,0.552,0.338,5.628,0.032,0.066,0.0,384.6,9.676000000000002,1.7700000000000002,0.08399999999999999
50,grilled_salmon,436.00306679999994,25.6875,2.1272342796666672,3.4707902666666666,0.037942034666666666,0.15976006463333334,7.204615705499999,0.4246480604666667,4.89,0.33680953333333324,27.996733766666665,1.7613212333333335,28.428295400000003,0.49149300633333337
51,guacamole,135.14890672800001,0.0,0.7408436663999999,8.365049941333334,0.07401201026666666,0.12448711493333331,1.4218611005333333,0.14999685213333333,0.11208356613333331,2.6813306666666668,51.179400613333314,0.5453028517333333,2.5752367887999994,0.44787138773333335
52,gyoza,15.46000427,0.015216416666666665,0.12857715733333333,0.9671086666666666,0.05309370690000001,0.12490598443333333,2.223972612666667,0.07664297183333334,0.6952072333333332,0.6736190666666665,45.429018766666665,0.9711473899999998,6.147957558,1.2096761119999997
53,hamburger,250.58405620000002,0.225,1.6173699466666664,1.9740946666666668,1.4925788049999997,1.3713601516666665,13.426476011666669,0.5931904883333333,3.1194488333333332,104.26666666666667,585.135332,10.677544999999999,58.40402485,7.493084356666667
54,hot_and_sour_soup,9.423723945,0.056699,0.23116798749999995,2.6817768,0.04276898845,0.1124758669,0.32222445595,0.03962071375,0.13324264999999996,0.0,31.779503,0.8027360329999998,6.509279051999999,0.4070339675
55,hot_dog,38.550000000000004,0.0,0.105,1.50625,0.016625,0.057125,0.2764375,0.025625000000000002,0.11562499999999998,0.31875000000000003,38.3125,0.140625,1.1337499999999998,0.17525000000000002
56,huevos_rancheros,454.71068412000005,2.164522475,1.7277428409999998,20.56718668,0.1573969184,0.7323273612,3.6414819152000004,0.18143191940000003,0.9806974,5.027495,664.7518355999999,2.015785888,35.400997464,2.89018518
57,hummus,7.451048364,0.0,0.4557733216000001,0.425128568,0.21348530412,0.09319154095999999,1.3743439399999997,0.27383372716000004,0.0008379164,0.0,39.132741919999994,2.2759499208,2.6330114723999998,1.9950749067999995
58,ice_cream,62.31341520000001,1.1394609,0.126,0.0,0.0015,0.19405044,0.013500000000000002,0.0015,0.89850972,0.0,91.8028296,0.388494936,3.741184488000001,0.203764248
59,lasagna,718.3241587724999,0.2612408125,1.7164127599999996,3.7340788025,0.357648024025,0.62604126575,6.976847159400001,0.29220793115000004,2.7713338,37.35,495.467266875,4.57525354,36.25057832,5.3110313927499995
60,lobster_bisque,219.62600444999998,0.01417475,0.6041820999999998,9.931814,0.0888953035,0.05949701749999999,1.4664498605,0.15421774349999998,0.743922335,13.225,89.98167399999998,0.793823,11.44344358,2.338953535
61,lobster_roll_sandwich,362.08026201499996,0.03388641666666666,1.3574014773333334,24.698953027777776,0.5537049094222222,0.5351824072888888,11.506024841688888,0.7369951951111111,0.661699212,15.299999999999999,126.0845090222222,7.401394691499999,31.924433662222228,3.9540256751111116
62,macaroni_and_cheese,948.9647422199998,2.2907780000000004,2.186822153,0.7307123899999999,0.1638666075,1.3421934087,0.6559536285999998,0.21403596874999997,2.9842908910000006,0.0,1874.558019,0.9196942335000001,60.3960213015,9.492376468
63,macarons,32.467724999999994,0.009036347222222222,0.2663163833333333,0.005555555555555556,0.055639910277777774,0.043020616,0.9071862819444445,0.02464143222222222,0.0632004,0.0,19.69184733333333,0.6484230722222223,2.743847438888889,0.3965703761111111
64,miso_soup,1656.8999999999999,0.0,13.830000000000002,164.6,2.5566445999999994,1.77185784,28.61529896,1.1858862719999999,57.300000000000004,0.0,5630.0,35.35687248,240.8150732,25.4592892
65,mussels,449.1477200849999,0.0,1.4141530616666669,36.81572865111111,0.41926475627222215,0.5180545565222222,4.50238410738889,0.22260128189999998,27.22034913183333,0.0,89.6831043,10.493834104055555,32.91100127066667,4.397027031388888
66,nachos,160.562388,0.40504146875,0.608791675,2.382220625,0.12087823750000001,0.28395279875,2.0001849212500002,0.1124448525,1.520020725,1.25687375,495.47576999999995,1.76170925,21.2822543375,2.9599343625
67,omelette,415.36823999999996,1.355,1.9335911999999997,15.0233888,0.142413032,0.4889257679999999,3.575733228,0.186108008,0.50698628,2.513756,319.028104,1.6691627599999999,17.76582292,1.81498368
68,onion_rings,421.39279107,0.9000000000000001,1.024666666,0.38609007,1.0112827954999999,1.4678526371999998,2.6382128746,0.3347137612,0.087094791,0.0,13.2354339,7.300335993,10.594333152,0.6730808160000001
69,oysters,346.89144588,0.7225,3.05994159,18.02603002,0.15648370239999998,0.160242509,5.6335395986000005,0.3772815196,1.36887208,21.0,69.91974359999999,3.235671968,24.00148119,0.72950253
70,pad_thai,455.1107632,0.42284783333333337,2.3088777266666667,0.6094320666666666,0.357164078,0.4158922193333333,3.7575235596666663,0.21996203566666667,0.4612725666666666,0.0,132.2006846666667,4.88497785,24.094908,1.7550993700000002
