,ing_name,serving_size,vitamin_a,vitamin_d,vitamin_e,vitamin_c,thiamin,riboflavin,niacin,vitamin_b6,vitamin_b12,folic_acid,calcium,irom,protein,zink
572,fresh thyme,100 g,4751.00 IU,0.00 IU,0,160.1 mg,0.048 mg,0.471 mg,1.824 mg,0.348 mg,0.00 mcg,0.00 mcg,405.00 mg,17.45 mg,5.56 g,1.81 mg
768,black peppercorns,100 g,230.00 IU,0,1.00 mg,181.0 mg,0.050 mg,0.050 mg,0.300 mg,0.066 mg,0.00 mcg,0,55.00 mg,1.54 mg,1.40 g,0.27 mg
30,dry white wine,100 g,0.00 IU,0.00 IU,0.11 mg,0.0 mg,0.090 mg,0.060 mg,1.700 mg,0.142 mg,0.00 mcg,0.00 mcg,21.00 mg,1.30 mg,13.04 g,1.41 mg
2192,olive oil,100 g,70.00 IU,0.00 IU,2.19 mg,0.0 mg,0.008 mg,0.000 mg,0.010 mg,0.002 mg,0.12 mcg,0.00 mcg,0.00 mg,0.00 mg,0.37 g,0.07 mg
711,coarse sea salt,100 g,15563.00 IU,0.00 IU,1.06 mg,4.2 mg,0.024 mg,0.054 mg,0.367 mg,0.056 mg,0.00 mcg,0.00 mcg,26.00 mg,1.39 mg,1.10 g,0.17 mg
698,beef tenderloin,100 g,0.00 IU,41.00 IU,0.22 mg,0.0 mg,0.367 mg,0.357 mg,6.053 mg,0.459 mg,1.52 mcg,0.00 mcg,15.00 mg,1.56 mg,21.85 g,2.93 mg
8,parmigiano-reggiano cheese,100 g,820.00 IU,18.00 IU,0.21 mg,0.0 mg,0.028 mg,0.488 mg,0.630 mg,0.227 mg,1.30 mcg,0.00 mcg,388.00 mg,0.33 mg,19.80 g,2.38 mg
625,garlic-stuffed olives,100 g,9.00 IU,0.00 IU,0.08 mg,31.2 mg,0.200 mg,0.110 mg,0.700 mg,1.235 mg,0.00 mcg,0.00 mcg,181.00 mg,1.70 mg,6.36 g,1.16 mg
759,dijon mustard,100 g,0.00 IU,0,0.86 mg,0.0 mg,0.048 mg,0.056 mg,0.402 mg,0.060 mg,0.23 mcg,0,32.00 mg,0.86 mg,2.60 g,0.36 mg
539,shallots,100 g,4.00 IU,0.00 IU,0.04 mg,8.0 mg,0.060 mg,0.020 mg,0.200 mg,0.345 mg,0.00 mcg,0.00 mcg,37.00 mg,1.20 mg,2.50 g,0.40 mg
52,celery leaves,100 g,16000.00 IU,0.00 IU,0,93.2 mg,0.065 mg,0.119 mg,0.638 mg,0.159 mg,0.00 mcg,0.00 mcg,48.00 mg,0.88 mg,2.98 g,0.40 mg
68,fresh chives,100 g,1442.00 IU,218.00 IU,2.58 mg,0.0 mg,0.176 mg,0.528 mg,0.024 mg,0.350 mg,1.95 mcg,0.00 mcg,129.00 mg,2.73 mg,15.86 g,2.30 mg
508,fresh parsley,100 g,8424.00 IU,0.00 IU,0.75 mg,133.0 mg,0.086 mg,0.098 mg,1.313 mg,0.090 mg,0.00 mcg,0.00 mcg,138.00 mg,6.20 mg,2.97 g,1.07 mg
709,green chili sauce,100 g,126.00 IU,0.00 IU,0,34.2 mg,0.010 mg,0.030 mg,0.627 mg,0.120 mg,0.00 mcg,0.00 mcg,36.00 mg,1.33 mg,0.72 g,0.09 mg
7,salt %26 freshly ground black pepper,100 g,0.00 IU,2.00 IU,0.20 mg,0.0 mg,0.110 mg,0.210 mg,5.960 mg,0.130 mg,2.31 mcg,0.00 mcg,16.00 mg,1.55 mg,16.56 g,3.41 mg
637,canola oil,100 g,0.00 IU,0.00 IU,17.46 mg,0.0 mg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 g,0.00 mg
